X1,X2,U
0.743775305,1.001493902,9.999417202
0.753790244,1.002611255,9.999996829
0.763816357,1.003524998,9.999576465
0.773851607,1.004233724,9.998156151
0.783893944,1.004736069,9.99573603
0.793941304,1.005030718,9.992316344
0.803991612,1.005116402,9.987897435
0.814042776,1.004991899,9.982479744
0.824092695,1.004656035,9.976063813
0.834139255,1.004107685,9.968650285
0.844180332,1.00334577,9.960239899
0.85421379,1.00236926,9.950833498
0.864237482,1.001177174,9.940432022
0.874249254,0.99976858,9.929036511
0.88424694,0.998142593,9.916648105
0.894228366,0.99629838,9.903268042
0.904191349,0.994235156,9.88889766
0.914133701,0.991952183,9.873538397
0.924053223,0.989448777,9.857191788
0.933947711,0.986724301,9.839859469
0.943814954,0.983778169,9.821543171
0.953652735,0.980609843,9.802244728
0.963458834,0.977218839,9.781966068
0.973231022,0.973604719,9.76070922
0.982967069,0.969767098,9.738476309
0.99266474,0.965705641,9.715269558
1.002321797,0.961420063,9.691091289
1.011935997,0.956910129,9.665943918
1.021505099,0.952175656,9.639829962
1.031026855,0.947216512,9.61275203
1.04049902,0.942032613,9.584712831
1.049919346,0.936623927,9.555715169
1.059285586,0.930990475,9.525761943
1.06859549,0.925132325,9.494856149
1.077846814,0.919049599,9.463000877
1.08703731,0.912742466,9.430199313
1.096164734,0.906211148,9.396454737
1.105226846,0.899455918,9.361770523
1.114221405,0.892477099,9.32615014
1.123146176,0.885275063,9.28959715
1.131998927,0.877850233,9.252115208
1.140777429,0.870203084,9.213708062
1.14947946,0.862334139,9.174379553
1.158102801,0.854243973,9.134133613
1.166645241,0.845933208,9.092974268
1.175104573,0.837402519,9.050905633
1.183478598,0.828652629,9.007931915
1.191765124,0.81968431,8.964057412
1.199961968,0.810498385,8.91928651
1.208066951,0.801095725,8.873623686
1.216077909,0.791477251,8.827073508
1.223992681,0.781643931,8.77964063
1.23180912,0.771596782,8.731329795
1.239525088,0.761336873,8.682145834
1.247138457,0.750865315,8.632093666
1.25464711,0.740183272,8.581178296
1.262048943,0.729291953,8.529404816
1.269341862,0.718192616,8.476778401
1.276523789,0.706886565,8.423304316
1.283592654,0.695375152,8.368987908
1.290546406,0.683659774,8.313834608
1.297383004,0.671741876,8.257849931
1.304100422,0.659622948,8.201039476
1.310696652,0.647304527,8.143408924
1.317169697,0.634788194,8.084964038
1.323517579,0.622075575,8.025710662
1.329738335,0.609168342,7.965654722
1.335830018,0.596068212,7.904802223
1.3417907,0.582776943,7.843159251
1.34761847,0.56929634,7.780731969
1.353311433,0.555628249,7.71752662
1.358867716,0.541774561,7.653549525
1.364285461,0.527737207,7.588807082
1.369562833,0.513518163,7.523305764
1.374698015,0.499119445,7.457052122
1.379689209,0.484543112,7.390052781
1.38453464,0.46979126,7.32231444
1.389232553,0.454866032,7.253843875
1.393781213,0.439769604,7.184647931
1.398178909,0.424504197,7.114733528
1.402423951,0.409072069,7.044107658
1.406514672,0.393475517,6.972777383
1.410449427,0.377716877,6.900749836
1.414226596,0.36179852,6.828032219
1.417844581,0.345722859,6.754631806
1.42130181,0.329492339,6.680555934
1.424596733,0.313109446,6.605812013
1.427727828,0.296576697,6.530407516
1.430693595,0.279896649,6.454349983
1.433492561,0.26307189,6.377647021
1.43612328,0.246105046,6.3003063
1.43858433,0.228998772,6.222335553
1.440874318,0.211755762,6.143742578
1.442991876,0.194378737,6.064535234
1.444935663,0.176870455,5.984721441
1.446704368,0.159233703,5.904309181
1.448296705,0.141471299,5.823306495
1.449711418,0.123586093,5.741721484
1.450947279,0.105580963,5.659562304
1.452003088,0.087458819,5.576837174
1.452877677,0.069222596,5.493554364
1.453569902,0.050875261,5.409722204
1.454078655,0.032419806,5.325349076
1.454402853,0.013859252,5.240443417
1.454541446,-0.004803355,5.155013718
1.454493412,-0.023564943,5.069068522
1.454257763,-0.042422415,4.982616424
1.453833539,-0.061372648,4.895666068
1.453219812,-0.080412496,4.80822615
1.452415687,-0.09953879,4.720305413
1.451420299,-0.118748337,4.631912649
1.450232816,-0.138037925,4.543056698
1.448852437,-0.157404316,4.453746445
1.447278393,-0.176844254,4.363990822
1.445509951,-0.196354464,4.273798802
1.443546406,-0.215931647,4.183179407
1.44138709,-0.23557249,4.092141697
1.439031365,-0.255273658,4.000694776
1.436478628,-0.275031802,3.908847789
1.43372831,-0.294843551,3.816609921
1.430779875,-0.314705523,3.723990394
1.42763282,-0.334614318,3.630998472
1.424286676,-0.35456652,3.537643453
